n is 783
i     sa    suffix                              lcp   t s  rank   lcp[rank]
0     782                                       -1    2 0  371    149  
1     624   #0100101001001010010100100101001010 0     1 1  669    148  
2     382   $0100101001001010010010100101001001 0     0 0  186    147  
3     781   0                                   0     2 0  484    146  
4     381   0$010010100100101001001010010100100 1     0 1  782    145  
5     621   001#0100101001001010010100100101001 1     1 0  306    233  
6     618   001001#0100101001001010010100100101 3     1 1  604    232  
7     610   00100101001001#01001010010010100101 6     1 0  121    231  
8     589   00100101001001010010100100101001001 14    1 0  419    230  
9     534   00100101001001010010100100101001001 35    1 1  717    229  
10    390   00100101001001010010100100101001001 90    1 0  236    228  
11    148   00100101001001010010100100101001001 232   0 1  534    227  
12    692   00100101001001010010100100101001001 88    2 0  51     226  
13    292   00100101001001010010100100101001001 90    0 0  348    225  
14    445   00100101001001010010100100101001001 90    1 1  646    224  
15    59    00100101001001010010100100101001001 179   0 0  163    223  
16    203   00100101001001010010100100101001001 177   0 0  461    222  
17    747   00100101001001010010100100101001010 33    2 1  759    221  
18    347   00100101001001010010100100101001010 35    0 0  280    220  
19    555   00100101001001010010100100101001010 35    1 1  578    219  
20    500   00100101001001010010100100101001010 69    1 0  95     218  
21    114   00100101001001010010100100101001010 124   0 0  393    217  
22    658   00100101001001010010100100101001010 122   2 1  691    216  
23    258   00100101001001010010100100101001010 124   0 0  210    215  
24    411   00100101001001010010100100101001010 124   1 1  508    214  
25    25    00100101001001010010100100101001010 213   0 0  25     213  
26    169   00100101001001010010100100101001010 211   0 0  321    212  
27    713   00100101001001010010100100101001010 67    2 1  619    211  
28    313   00100101001001010010100100101001010 69    0 0  136    210  
29    466   00100101001001010010100100101001010 69    1 0  434    209  
30    80    00100101001001010010100100101001010 158   0 1  732    208  
31    224   00100101001001010010100100101001010 156   0 0  251    207  
32    768   00100101001010                      12    2 1  549    206  
33    368   00100101001010$01001010010010100100 14    0 0  66     205  
34    597   001001010010100100101001001#0100101 14    1 0  363    204  
35    576   00100101001010010010100100101001010 27    1 1  661    203  
36    521   00100101001010010010100100101001010 48    1 0  178    202  
37    135   00100101001010010010100100101001010 103   0 0  476    201  
38    679   00100101001010010010100100101001010 101   2 1  774    200  
